entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-04-26,downgrade,[ICRA]A2,[ICRA]A4,Commercial Paper,https://www.icra.in/Rationale/ShowRationaleReport/?Id=79890,CP downgraded from A2 to A4 with negative implications; stretched liquidity
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-04-30,downgrade,[ICRA] AA,[ICRA] BBB,Indian Receivable Trust 2019 Series 1 PTC Series A,,source=history_H2_2022-2023
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-04-30,downgrade,[ICRA] AAA,[ICRA] BBB,RHF Indian Receivable Trust 2 2017 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,CRISIL,2019-06-21,downgrade,CRISIL AA,CRISIL A,Long Term Debt,,Downgraded alongside parent Reliance Capital
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-06-21,downgrade,[ICRA]AA,[ICRA]A,Long Term Debt,,Downgraded alongside parent
Reliance Home Finance,Reliance Home Finance Limited,CARE,2019-07-01,default,CARE BBB+,CARE D,Long Term Debt,,Downgraded to D; delays in servicing instruments; stressed liquidity
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-08-19,initial,,[ICRA] BBB,Indian Receivable Trust 2019 Series 2 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,CRISIL,2019-10-01,downgrade,CRISIL A,CRISIL BBB-,Long Term Debt,,Further deterioration
Reliance Home Finance,Reliance Home Finance Limited,CRISIL,2019-11-15,default,CRISIL BBB-,CRISIL D,Long Term Debt,,Default alongside parent
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-11-15,default,[ICRA]BBB-,[ICRA]D,Long Term Debt,,Default alongside parent
Repco Home Finance,Repco Home Finance Limited,ICRA,2024-01-05,initial,,[ICRA] AA-,NCD,,source=history_H1_2024-2025
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2018-10-30,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2019-03-01,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2019-10-10,initial,,Provisional CRISIL AA(SO),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2019-10-10,downgrade,CRISIL AAA(SO),CRISIL AA(SO),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2020-02-14,affirmed,Provisional CRISIL AA(SO),CRISIL AA(SO),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2020-06-03,downgrade,CRISIL AA(SO),CRISIL A+(SO),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2020-11-19,downgrade,CRISIL A+(SO),CRISIL A-(SO),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-01-22,downgrade,CRISIL A-(SO),CRISIL BBB(SO),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-03-16,downgrade,CRISIL A-(SO),CRISIL BB+(SO),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-03-16,downgrade,CRISIL BBB(SO),CRISIL BB-(SO),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-04-23,affirmed,CRISIL BB+(SO),CRISIL BB+(SO)(INC),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-04-23,affirmed,CRISIL BB-(SO),CRISIL BB-(SO)(INC),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-07-22,downgrade,CRISIL BB-(SO)(INC),CRISIL B+(SO) (INC),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-10-13,downgrade,CRISIL BB+(SO)(INC),CRISIL B+(SO)(INC),Series A PTCs (securitized),,Trust: IIALRT-I Trust; Securitisation; Unlisted; Source: archive/2023-10
SREI Equipment Finance,SREI Equipment Finance Limited,CRISIL,2021-10-13,downgrade,CRISIL B+(SO) (INC),CRISIL B-(SO)(INC),Securitized,,Trust: IIERT Oct 2018 - II; BFSI; Unlisted; Source: archive/2022-09
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,Brickwork,2019-07-01,outlook_negative,BWR AA (Stable),BWR AA (Negative),Non Convertible Debentures,,NCD issues and perpetual debt instruments outlook revised to Negative from Stable
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,Brickwork,2019-09-10,downgrade,BWR AA,BWR A+,Non Convertible Debentures,https://www.brickworkratings.com/Admin/PressRelease/SREI-Infrastructure-Finance-10Sept2019.pdf,NCD debentures downgraded from AA to A+; weak asset quality; declining CAR 15.57%; profitability decrease Q1FY20
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,ICRA,2020-06-30,outlook_negative,[ICRA]BBB+ (Stable),[ICRA]BBB+ (Negative),Long Term Debt,,Outlook revised on liquidity concerns
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,ICRA,2020-10-28,downgrade,[ICRA]BBB+,[ICRA]BBB,Long Term Debt,,Continued stress on asset quality
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,CRISIL,2020-11-19,downgrade,CRISIL A+ (SO),CRISIL A- (SO),Long Term Debt,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/SREI%20Equipment%20Finance%20Limited_November_19_2020_RR202011191110.html,CRISIL downgraded structured obligation rating; deterioration in credit risk profile; RBI special audit initiated Nov 23
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,Brickwork,2020-11-24,downgrade,BWR BBB-,BWR BB,Long Term Debt,,Perpetual debt instrument downgraded to BWR BB from BWR BBB-; stress on collections and liquidity
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,Acuite,2021-01-15,downgrade,ACUITE BBB,ACUITE BBB-,Non Convertible Debentures,https://www.moneylife.in/article/care-acuit-ratings-downgrade-srei-infrastructure-finance-to-default-category-debenture-trustees-bondholders-challenge-nclt-order-on-moratorium/63167.html,Rating Watch Negative maintained; note NCLT Dec 30 2020 had ordered agencies to maintain investment grade
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,Acuite,2021-03-05,default,ACUITE BBB-,ACUITE D,Non Convertible Debentures,,NCDs Rs 3492.45 cr downgraded to D; ongoing delays in debt servicing; NCLAT Mar 2 stayed NCLT order
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,CARE,2021-03-06,default,CARE BBB,CARE D,Long Term Debt,https://mnacritique.mergersindia.com/news/care-downgrades-srei-to-default-firm-says-rating-is-wrong-baseless/,CARE recognised default; Rs 11828.34 cr in D category; ongoing delays in debt servicing obligations
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,ICRA,2021-03-08,downgrade,[ICRA]BBB,[ICRA]BB+,Long Term Debt,,Significant deterioration in liquidity
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,CARE,2021-10-04,default,CARE D,CARE D,Long Term Debt,,Reaffirmed at D; RBI supersession and NCLT CIRP filing Oct 8
SREI Infrastructure Finance,SREI Infrastructure Finance Limited,ICRA,2021-10-04,default,[ICRA]BB+,[ICRA]D,Long Term Debt,,RBI superseded board Oct 4 2021; NCLT proceedings initiated; Rajneesh Sharma appointed administrator
Shriram Finance,Shriram Finance Limited,CRISIL,2010-04-27,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-03
Shriram Finance,Shriram Finance Limited,CRISIL,2010-05-26,initial,,CRISIL AA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Shriram Finance,Shriram Finance Limited,CRISIL,2011-07-01,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-03
Shriram Finance,Shriram Finance Limited,CRISIL,2011-08-31,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-03
